Neighborhood Name,Geo Entity ID,Poverty - Rank 2011-15,Pre-1950 Homes - Percent 2011-15,Race and Ethnicity (ICE 2) - Percent Black 2011-15,Race and Ethnicity (ICE 2) - Percent Asian 2011-15,Rent Burdened Households - Percent 2012-16,Race and Ethnicity (ICE 2) - Percent White 2011-15,Race and Ethnicity (ICE 2) - ICE 2011-15,Poverty - Percent 2012-16
Bronx: Allerton-Pelham Gardens,531,2,47.5,33.1,8.6,51.3,24.9,0.0,13.7
Bronx: Bedford Park-Fordham North,505,3,74.5,16.2,4.4,59.4,8.2,-0.3,33.5
Bronx: Belmont,506,3,61.1,14.1,1.6,66.3,20.7,-0.4,44.4
Bronx: Bronxdale,507,3,43.0,29.2,3.8,55.4,11.3,-0.3,27.8
Bronx: Claremont-Bathgate,501,3,46.4,39.5,0.1,57.8,1.0,-0.5,49.7
Bronx: Co-op City,513,1,6.7,59.3,1.0,42.2,7.6,-0.2,10.6
Bronx: Crotona Park East,575,3,38.8,30.0,0.8,58.8,0.9,-0.5,41.4
Bronx: East Concourse-Concourse Village,514,3,64.1,35.2,1.9,60.0,1.6,-0.4,35.9
Bronx: East Tremont,517,3,43.3,28.4,0.9,63.5,1.7,-0.5,44.8
Bronx: Eastchester-Edenwald-Baychester,503,2,33.7,66.1,2.0,54.5,3.7,-0.2,17.3
Bronx: Fordham South,540,3,76.1,25.5,0.9,65.0,1.5,-0.5,45.1
Bronx: Highbridge,526,3,53.1,33.5,0.3,60.9,1.6,-0.4,40.2
Bronx: Hunts Point,527,3,59.4,23.6,0.6,58.4,1.0,-0.4,40.4
Bronx: Kingsbridge Heights,530,3,67.1,17.4,4.0,62.8,3.1,-0.3,29.0
Bronx: Longwood,533,3,53.2,22.0,1.9,59.6,1.3,-0.4,39.4
Bronx: Melrose South-Mott Haven North,534,3,42.5,31.9,0.5,58.1,2.1,-0.5,42.5
Bronx: Morrisania-Melrose,535,3,45.7,33.7,0.4,55.8,1.5,-0.4,34.9
Bronx: Mott Haven-Port Morris,539,3,48.3,24.3,0.5,57.5,1.4,-0.5,45.1
Bronx: Mount Hope,541,3,72.6,25.8,1.6,66.5,1.5,-0.4,37.7
Bronx: North Riverdale-Fieldston-Riverdale,522,1,32.1,6.3,6.6,43.5,65.1,0.3,9.3
Bronx: Norwood,543,3,66.9,15.4,11.4,62.6,10.8,-0.3,33.0
Bronx: Parkchester,546,2,70.3,42.6,14.0,47.1,2.0,-0.2,17.4
Bronx: Pelham Bay-Country Club-City Island,510,1,44.5,2.9,4.8,47.6,55.5,0.2,11.9
Bronx: Pelham Parkway,549,2,53.2,13.4,10.4,49.9,33.2,0.0,15.7
Bronx: Schuylerville-Throgs Neck-Edgewater Park,552,2,38.6,9.3,4.0,46.9,41.7,0.1,13.5
Bronx: Soundview-Bruckner,555,3,53.6,25.0,6.1,60.0,2.5,-0.3,35.0
Bronx: Soundview-Castle Hill-Clason Point-Harding Park,509,3,20.6,34.9,2.1,50.9,2.3,-0.2,30.2
Bronx: Spuyten Duyvil-Kingsbridge,529,1,34.9,8.0,4.8,44.7,47.1,0.2,12.5
Bronx: University Heights-Morris Heights,536,3,58.0,29.0,1.8,63.8,1.4,-0.5,43.5
Bronx: Van Cortlandt Village,528,3,62.4,19.6,4.6,58.7,8.8,-0.2,25.9
